section,station,next_station,optional_nodes
LTT-JL,DI,"THK,KYN",THK
LTT-JL,THK,KYN,
LTT-JL,KYN,"SHAD,ABY,TLA","SHAD,ABY"
LTT-JL,SHAD,ABY,
LTT-JL,ABY,TLA,
LTT-JL,TLA,KDV,
LTT-JL,KDV,VSD,
LTT-JL,VSD,ASO,
LTT-JL,ASO,ATG,
LTT-JL,ATG,THS,
LTT-JL,THS,KE,
LTT-JL,KE,OMB,
LTT-JL,OMB,KSRA,
LTT-JL,KSRA,"X103,X102,X101,IGP","X103,X102,X101"
LTT-JL,X103,X102,
LTT-JL,X102,X101,
LTT-JL,X101,IGP,
LTT-JL,IGP,GO,
LTT-JL,GO,PI,
LTT-JL,PI,AV,
LTT-JL,AV,LT,
LTT-JL,LT,DVL,
LTT-JL,DVL,NK,
LTT-JL,NK,ODHA,
LTT-JL,ODHA,KW,
LTT-JL,KW,KBSN,
LTT-JL,KBSN,NR,
LTT-JL,NR,UGN,
LTT-JL,UGN,LS,
LTT-JL,LS,SUM,
LTT-JL,SUM,MMR,
LTT-JL,MMR,PNV,
LTT-JL,PNV,PNVC,
LTT-JL,PNVC,HSL,
LTT-JL,HSL,PJN,
LTT-JL,PJN,NGN,
LTT-JL,NGN,PKE,
LTT-JL,PKE,NI,
LTT-JL,NI,HPR,
LTT-JL,HPR,CSN,
LTT-JL,CSN,VGL,
LTT-JL,VGL,KJ,
LTT-JL,KJ,NGD,
LTT-JL,NGD,GAA,
LTT-JL,GAA,PC,
LTT-JL,PC,PHQ,
LTT-JL,PHQ,MYJ,
LTT-JL,MYJ,MWD,
LTT-JL,MWD,SS,
LTT-JL,SS,JL,
PUNE-CSMT,PUNE,SVJR,
PUNE-CSMT,SVJR,KK,
PUNE-CSMT,KK,DAPD,
PUNE-CSMT,DAPD,"KSWD,PMP",KSWD
PUNE-CSMT,KSWD,PMP,
PUNE-CSMT,PMP,CCH,
PUNE-CSMT,CCH,"AKRD,DEHR",AKRD
PUNE-CSMT,AKRD,"DEHR,SLRW,GRWD,TGN","DEHR,SLRW,GRWD"
PUNE-CSMT,DEHR,SLRW,
PUNE-CSMT,SLRW,GRWD,
PUNE-CSMT,GRWD,"TGN,VDN,KNHE,KMST","TGN,VDN,KNHE"
PUNE-CSMT,TGN,VDN,
PUNE-CSMT,VDN,KNHE,
PUNE-CSMT,KNHE,KMST,
PUNE-CSMT,KMST,"MVL,LNLX,LNLB,LNL","MVL,LNLX,LNLB"
PUNE-CSMT,MVL,LNLX,
PUNE-CSMT,LNLX,LNLB,
PUNE-CSMT,LNLB,LNL,
PUNE-CSMT,LNL,KAD,
PUNE-CSMT,KAD,"T18,MHLC",T18
PUNE-CSMT,T18,MHLC,
PUNE-CSMT,MHLC,"T6,T5,T17,T4,JBC","T6,T5,T17,T4"
PUNE-CSMT,T6,T5,
PUNE-CSMT,T5,T17,
PUNE-CSMT,T17,T4,
PUNE-CSMT,T4,JBC,
PUNE-CSMT,MHLC,"T8,T7,T23,T5,TKW","T8,T7,T23,T5"
PUNE-CSMT,T8,T7,
PUNE-CSMT,T7,T23,
PUNE-CSMT,T23,T5,
PUNE-CSMT,T5,TKW,
PUNE-CSMT,TKW,T4,
PUNE-CSMT,T4,JBC,
PUNE-CSMT,JBC,T3,
PUNE-CSMT,T3,PDI,
PUNE-CSMT,PDI,KJT,
PUNE-CSMT,KJT,BVS,
PUNE-CSMT,BVS,NRL,
PUNE-CSMT,NRL,"SHLU,VGI",SHLU
PUNE-CSMT,SHLU,VGI,
