restriction_id,from_lat,from_lon,to_lat,to_lon,speed_limit_kmph,route,direction,description 
58,18.92522,73.20383,18.93674,73.19643,90,PUNE-CSMT,UP,kjt-pnvl
59,18.94843,73.19346,18.95488,73.18416,100,PUNE-CSMT,UP,kjt-pnvl
60,19.13952,73.08222,19.14749,73.08282,95,PUNE-CSMT,UP,pnvl-diva
61,19.14386,73.08279,19.15416,73.08055,80,PUNE-CSMT,UP,pnvl-diva
62,19.16973,73.07527,19.17579,73.07073,95,PUNE-CSMT,UP,pnvl-diva
63,19.18373,73.06383,19.18874,73.05599,100,PUNE-CSMT,UP,pnvl-diva
64,19.19108,73.05145,19.18968,73.04546,80,PUNE-CSMT,UP,pnvl-diva
65,19.2025237,73.0055572,19.2052626,73.0170686,95,LTT-PUNE,DN,ltt-kyn
66,19.2052626,73.0170686,19.1999952,73.0222114,85,LTT-PUNE,DN,ltt-kyn
67,19.1999952,73.0222114,19.186468,73.037127,100,LTT-PUNE,DN,ltt-kyn
68,19.2328096,73.1233412,19.23600336,73.13264031,65,LTT-PUNE,DN,ltt-kyn
69,19.21137,73.18152,19.20586,73.19085,95,LTT-PUNE,DN,kyn-kjt
70,19.16803,73.23459,19.16649,73.24102,90,LTT-PUNE,DN,kyn-kjt
71,19.16649,73.24102,19.16116,73.24668,85,LTT-PUNE,DN,kyn-kjt
72,18.89966,73.32024,18.88611,73.32026,80,LTT-PUNE,DN,kjt-lnl
73,18.88611,73.32026,18.75134,73.40496,60,LTT-PUNE,DN,kjt-lnl
74,18.76739,73.55339,18.76508875,73.56257934,90,LTT-PUNE,DN,lnl-pune
75,18.73961,73.66455,18.73368,73.67413,85,LTT-PUNE,DN,lnl-pune
76,18.70189,73.70414,18.7002,73.71074,90,LTT-PUNE,DN,lnl-pune
77,18.64444,73.78596,18.63789,73.79288,90,LTT-PUNE,DN,lnl-pune
78,18.56895468,73.83757335,18.56099833,73.84255651,75,LTT-PUNE,DN,lnl-pune
79,18.53034481,73.85325077,18.52853007,73.85875471,85,LTT-PUNE,DN,lnl-pune
80,18.52853007,73.85875471,18.52869089,73.86686047,30,LTT-PUNE,DN,lnl-pune
81,18.52869089,73.86686047,18.5295334,73.875868,10,LTT-PUNE,DN,lnl-pune
82,19.19047,73.04674,19.1888,73.05601,75,LTT-PUNE,DN,dw-pnvl
83,19.186547,73.060481,19.18050621,73.06673688,100,LTT-PUNE,DN,dw-pnvl
84,19.173476,73.072862,19.16447,73.07714,95,LTT-PUNE,DN,dw-pnvl
85,19.147775,73.083169,19.13676838,73.08266356,80,LTT-PUNE,DN,dw-pnvl
86,19.14297,73.082884,19.13618439,73.08262453,95,LTT-PUNE,DN,dw-pnvl
87,19.06832,73.09272,19.06113,73.09781,95,LTT-PUNE,DN,dw-pnvl
88,19.044216,73.112123,19.03112,73.1147,95,LTT-PUNE,DN,dw-pnvl
89,18.99829,73.11582,18.99278,73.11964,75,LTT-PUNE,DN,dw-pnvl
90,18.95266,73.1883,18.94395,73.19478,100,LTT-PUNE,DN,pnvl-kjt
91,18.93262,73.19748,18.92074,73.20536,90,LTT-PUNE,DN,pnvl-kjt
92,18.92565,73.31381,18.91928,73.32199,90,LTT-PUNE,DN,pnvl-kjt
93,18.52944,73.85431,18.53523,73.85052,90,PUNE-LTT,UP,pune-lnl
94,18.7389,73.66729,18.73971,73.66049,85,PUNE-LTT,UP,pune-lnl
95,18.76763,73.55478,18.76577,73.54908,90,PUNE-LTT,UP,pune-lnl
96,18.75481,73.37581,18.7514,73.36817,30,PUNE-LTT,UP,lnl-kjt
97,18.77505,73.36341,18.7855,73.36699,25,PUNE-LTT,UP,lnl-kjt
98,18.7855,73.36699,18.79097,73.36477,30,PUNE-LTT,UP,lnl-kjt
99,18.82649,73.36392,18.83151,73.35966,30,PUNE-LTT,UP,lnl-kjt
100,18.88737,73.32002,18.90939383,73.32071368,80,PUNE-LTT,UP,lnl-kjt
101,19.16416,73.245,19.2058587,73.1908487,85,PUNE-LTT,UP,kjt-kyn
102,19.16723,73.23636,19.1611624,73.2466777,90,PUNE-LTT,UP,kjt-kyn
103,19.18532,73.03467,19.20378,73.01926,100,PUNE-LTT,UP,kyn-csmt
104,19.20378,73.01926,19.20586,73.01551,85,PUNE-LTT,UP,kyn-csmt
105,19.20586,73.01551,19.19979,73.00241,95,PUNE-LTT,UP,kyn-csmt
106,19.18766,72.98077,19.18477,72.97162,80,PUNE-LTT,UP,kyn-csmt
107,18.91928,73.32199,18.92565,73.31381,90,PUNE-LTT,UP,kjt-pnvl
108,18.92522,73.20383,18.93674,73.19643,90,PUNE-LTT,UP,kjt-pnvl
109,18.94843,73.19346,18.95488,73.18416,100,PUNE-LTT,UP,kjt-pnvl
110,19.13952,73.08222,19.14749,73.08282,95,PUNE-LTT,UP,pnvl-diva
111,19.14386,73.08279,19.15416,73.08055,80,PUNE-LTT,UP,pnvl-diva
112,19.16973,73.07527,19.17579,73.07073,95,PUNE-LTT,UP,pnvl-diva
113,19.18373,73.06383,19.18874,73.05599,100,PUNE-LTT,UP,pnvl-diva
114,19.19108,73.05145,19.18968,73.04546,80,PUNE-LTT,UP,pnvl-diva
115,18.9528335,72.8382871,18.9571656,72.8386147,70,CSMT-JL,DN,csmt-kyn
116,18.9635702,72.8389997,18.9695334,72.8337834,60,CSMT-JL,DN,csmt-kyn
117,18.9708535,72.8332235,18.9787206,72.8328779,60,CSMT-JL,DN,csmt-kyn
118,19.00497,72.83501,19.01275,72.8399,80,CSMT-JL,DN,csmt-kyn
119,19.0296553,72.8517695,19.0361707,72.8561189,65,CSMT-JL,DN,csmt-kyn
120,19.0801853,72.8983858,19.0835601,72.9043999,65,CSMT-JL,DN,csmt-kyn
121,19.2025237,73.0055572,19.2052626,73.0170686,95,CSMT-JL,DN,csmt-kyn
122,19.2052626,73.0170686,19.1999952,73.0222114,85,CSMT-JL,DN,csmt-kyn
123,19.1999952,73.0222114,19.186468,73.037127,100,CSMT-JL,DN,csmt-kyn
124,19.2328096,73.1233412,19.23600336,73.13264031,65,CSMT-JL,DN,csmt-kyn
125,19.29484,73.20268,19.3045695,73.211849,85,CSMT-JL,DN,kyn-ksra
126,19.35352,73.21382,19.35749,73.22105,90,CSMT-JL,DN,kyn-ksra
127,19.40787,73.26908,19.41004,73.27719,80,CSMT-JL,DN,kyn-ksra
128,19.47389,73.30394,19.48057,73.31394,95,CSMT-JL,DN,kyn-ksra
129,19.48057,73.31394,19.4865411,73.3228478,80,CSMT-JL,DN,kyn-ksra
130,19.50778,73.32696,19.51579,73.33267,85,CSMT-JL,DN,kyn-ksra
131,19.64087087,73.46936485,19.64620442,73.47200933,50,CSMT-JL,DN,kyn-ksra
132,19.68022,73.49216,19.68693,73.49555,30,CSMT-JL,DN,ksra-igp
133,19.70327,73.52368,19.70174,73.52951,45,CSMT-JL,DN,ksra-igp
134,19.69769,73.55307,19.69302,73.57202,15,CSMT-JL,DN,ksra-igp
135,19.693415,73.595918,19.726641,73.637868,110,CSMT-JL,DN,igp-mmr
136,19.726641,73.637868,19.739396,73.639238,95,CSMT-JL,DN,igp-mmr
137,19.739396,73.639238,19.78138,73.66234,110,CSMT-JL,DN,igp-mmr
138,19.78138,73.66234,19.79961,73.67195,85,CSMT-JL,DN,igp-mmr
139,19.79961,73.67195,19.82733,73.79016,110,CSMT-JL,DN,igp-mmr
140,19.82733,73.79016,19.83547,73.79163,100,CSMT-JL,DN,igp-mmr
141,19.83547,73.79163,19.872073,73.817616,110,CSMT-JL,DN,igp-mmr
142,19.939238,73.840241,19.959121,73.844703,110,CSMT-JL,DN,igp-mmr
